# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Bergstraße;HE;110164;86169;5346;80823;20869;28555;16472;0;6960;7967;0;0;0;0;0;0;0;0;0
906;Hessen;HE;2906239;2247390;119112;2128278;684042;454437;597081;0;142539;250179;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
148;Altenkirchen (Westerwald);RP;140605;115919;5586;110333;30701;59150;15561;0;4921;0;0;0;0;0;0;0;0;0;0
149;Ahrweiler;RP;114953;95397;4809;90588;17045;61509;8783;0;3251;0;0;0;0;0;0;0;0;0;0
150;Koblenz;RP;117955;95068;5163;89905;22480;51672;11542;0;4211;0;0;0;0;0;0;0;0;0;0
151;Cochem;RP;110534;87562;4968;82594;9057;55041;17190;0;1306;0;0;0;0;0;0;0;0;0;0
152;Kreuznach;RP;122976;88400;4464;83936;22922;28816;25507;0;6691;0;0;0;0;0;0;0;0;0;0
153;Prüm;RP;111829;90735;5169;85566;8794;68649;6918;0;1205;0;0;0;0;0;0;0;0;0;0
154;Trier;RP;121858;100227;7048;93179;17261;60401;12428;0;3089;0;0;0;0;0;0;0;0;0;0
155;Westerburg;RP;153801;112133;6358;105775;29825;56811;14599;0;4540;0;0;0;0;0;0;0;0;0;0
156;Mainz;RP;122807;95589;5165;90424;30227;35567;17780;0;6850;0;0;0;0;0;0;0;0;0;0
157;Worms;RP;124488;97331;5216;92115;33708;25812;21917;0;5803;4875;0;0;0;0;0;0;0;0;0
158;Ludwigshafen am Rhein;RP;130924;108024;6591;101433;43763;30081;12641;0;14948;0;0;0;0;0;0;0;0;0;0
159;Neustadt an der Weinstraße;RP;136327;109983;5626;104357;41074;35883;19498;0;7902;0;0;0;0;0;0;0;0;0;0
160;Kaiserslautern;RP;135636;105152;5290;99862;36487;32436;18987;0;11952;0;0;0;0;0;0;0;0;0;0
161;Zweibrücken;RP;126504;103344;5855;97489;33703;45447;10753;0;7586;0;0;0;0;0;0;0;0;0;0
162;Speyer;RP;129600;108892;4892;104000;31858;54850;12521;0;4771;0;0;0;0;0;0;0;0;0;0
907;Rheinland-Pfalz;RP;1900797;1513756;82200;1431556;408905;702125;226625;0;89026;4875;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
