Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

62;Wilhelmring 125;1.135;908;12;896;368;41,1;442;49,3;59;6,6;0;0,0;24;2,7;1;0,1;2;0,2;
63;Cronenfelder Str. 26 a;904;689;9;680;313;46,0;294;43,2;51;7,5;1;0,1;13;1,9;3;0,4;5;0,7;
64;Cronenfelder Str. 26 a;875;674;13;661;244;36,9;324;49,0;59;8,9;0;0,0;33;5,0;0;0,0;1;0,1;
65;Hauptstr. 102;1.097;912;15;897;412;45,9;396;44,1;69;7,7;0;0,0;17;1,9;2;0,2;1;0,1;
66;Kampstr. 1;1.059;853;10;843;360;42,7;386;45,8;63;7,5;0;0,0;31;3,7;1;0,1;2;0,2;
67;Rathausstr. 8;972;766;5;761;411;54,0;252;33,1;78;10,2;0;0,0;8;1,1;5;0,7;7;0,9;
68;Borner Str. 1;1.008;832;16;816;298;36,5;449;55,0;48;5,9;0;0,0;19;2,3;0;0,0;2;0,2;
69;Am Hofe 1;1.198;976;15;961;378;39,3;471;49,0;65;6,8;0;0,0;40;4,2;2;0,2;5;0,5;
70;Berghauser Str. 45;865;664;16;648;288;44,4;288;44,4;49;7,6;0;0,0;21;3,2;0;0,0;2;0,3;
71;Rottsieper Höhe 14;717;590;7;583;232;39,8;303;52,0;27;4,6;0;0,0;20;3,4;0;0,0;1;0,2;
72;Rottsieper Höhe 14;782;619;15;604;251;41,6;299;49,5;37;6,1;0;0,0;13;2,1;0;0,0;4;0,7;
73;Unterkohlfurth 75;449;330;1;329;132;40,1;152;46,2;30;9,1;1;0,3;7;2,1;1;0,3;6;1,8;
74;Hintersudberger Str. 10;1.014;810;22;788;316;40,1;359;45,6;73;9,3;1;0,1;30;3,8;0;0,0;9;1,1;
75;Friedrich-Ebert-Str. 348;873;646;11;635;196;30,9;394;62,0;37;5,8;0;0,0;4;0,6;0;0,0;4;0,6;
76;Nützenberger Str. 288;668;496;6;490;270;55,1;139;28,4;68;13,9;0;0,0;5;1,0;0;0,0;8;1,6;
77;Kyffhäuser Str. 98;1.038;854;13;841;290;34,5;442;52,6;67;8,0;4;0,5;25;3,0;5;0,6;8;0,9;
78;Funckstr. 94;716;527;4;523;286;54,7;161;30,8;54;10,3;0;0,0;11;2,1;3;0,6;8;1,5;
79;Nützenberger Str. 242;1.043;777;20;757;247;32,6;456;60,2;18;2,4;1;0,1;21;2,8;10;1,3;4;0,5;
80;Vogelsaue 32;993;769;17;752;197;26,2;506;67,3;18;2,4;0;0,0;27;3,6;3;0,4;1;0,1;
81;Friedrich-Ebert-Str. 238;827;628;8;620;227;36,6;341;55,0;40;6,5;3;0,5;6;1,0;0;0,0;3;0,5;
82;Simonsstr. 34;1.126;909;8;901;299;33,2;533;59,2;49;5,4;2;0,2;10;1,1;2;0,2;6;0,7;
