Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

63;Vogelsangstr. 50;999;811;3;808;316;39,1;346;42,8;140;17,3;0;0,0;2;0,2;4;0,5;
64;Vogelsangstr. 50;548;417;8;409;172;42,0;172;42,0;61;14,9;0;0,0;2;0,5;2;0,5;
65;Helmholzstr. 40;1.225;972;1;971;426;43,9;375;38,6;162;16,7;0;0,0;5;0,5;3;0,3;
66;Bayreuther Str. 35;1.112;897;3;894;314;35,1;432;48,3;137;15,3;0;0,0;7;0,8;4;0,5;
67;Kruppstr. 145;1.010;720;3;717;194;27,1;420;58,6;103;14,4;0;0,0;0;0,0;0;0,0;
68;Kruppstr. 145;1.035;853;8;845;324;38,3;369;43,7;141;16,7;0;0,0;8;0,9;3;0,4;
69;Pahlkestr. 175;1.113;923;3;920;227;24,7;505;54,9;186;20,2;0;0,0;2;0,2;0;0,0;
70;Katernberger Schulweg 50;1.013;826;2;824;366;44,4;339;41,1;115;14,0;0;0,0;3;0,4;1;0,1;
71;Hainstr. 192;1.231;1.002;3;999;388;38,8;433;43,3;168;16,8;0;0,0;6;0,6;4;0,4;
72;Katernberger Schulweg 50;934;737;2;735;190;25,9;366;49,8;174;23,7;0;0,0;5;0,7;0;0,0;
73;Birkenhöhe 60;1.259;983;5;978;336;34,4;373;38,1;261;26,7;0;0,0;4;0,4;4;0,4;
74;Birkenhöhe 60;1.204;996;2;994;382;38,4;417;42,0;183;18,4;0;0,0;10;1,0;2;0,2;
75;Hainstr. 192;592;470;2;468;148;31,6;230;49,1;86;18,4;0;0,0;4;0,8;0;0,0;
76;Nevigeser Str. 373;465;379;4;375;125;33,3;213;56,8;33;8,8;0;0,0;1;0,3;3;0,8;
77;Gartenstr. 45;809;660;5;655;243;37,1;283;43,2;123;18,8;0;0,0;4;0,6;2;0,3;
78;Bundesallee 265;989;800;7;793;338;42,6;317;40,0;127;16,0;0;0,0;10;1,3;1;0,1;
79;Bundesallee 222;1.016;760;4;756;288;38,1;336;44,4;129;17,1;0;0,0;2;0,3;1;0,1;
80;Else-Lasker-Schüler-Str. 30;908;707;0;707;266;37,6;312;44,1;122;17,3;0;0,0;7;1,0;0;0,0;
81;Neumarkt 10;802;590;3;587;221;37,6;270;46,0;90;15,3;0;0,0;5;0,8;1;0,2;
82;Neumarktstr. 48;751;535;3;532;235;44,2;209;39,3;78;14,7;0;0,0;10;1,9;0;0,0;
83;Obergrünwalder Str. 27;737;566;10;556;242;43,5;213;38,3;95;17,1;0;0,0;5;0,9;1;0,2;
84;Johannisberg 20;990;799;9;790;351;44,4;308;39,0;120;15,2;0;0,0;4;0,5;7;0,9;
85;Obergrünwalder Str. 27;935;699;7;692;303;43,8;245;35,4;133;19,2;0;0,0;9;1,3;2;0,3;
86;Briller Str. 2;608;499;2;497;221;44,5;192;38,6;79;15,9;0;0,0;5;1,0;0;0,0;
87;Moritzstr. 21;526;395;3;392;172;43,9;145;37,0;68;17,4;0;0,0;5;1,3;2;0,5;
88;Simonsstr. 34;604;447;3;444;239;53,8;133;29,9;61;13,7;0;0,0;8;1,8;3;0,7;
89;Simonsstr. 34;792;645;6;639;340;53,2;200;31,3;92;14,4;0;0,0;6;0,9;1;0,2;
90;Simonsstr. 34;463;345;4;341;143;41,9;151;44,3;44;12,9;0;0,0;3;0,9;0;0,0;
91;Briller Str. 2;666;492;4;488;210;43,0;183;37,5;86;17,6;0;0,0;3;0,6;6;1,2;
92;Viktoriastr. 21;593;443;0;443;246;55,5;120;27,1;70;15,8;0;0,0;3;0,7;4;0,9;
93;Viktoriastr. 21;694;521;4;517;172;33,3;246;47,6;93;18,0;0;0,0;6;1,2;0;0,0;
94;Bismarckstr. 90;932;659;2;657;172;26,2;328;49,9;143;21,8;0;0,0;12;1,8;2;0,3;
95;Funckstr. 37;950;711;8;703;217;30,9;360;51,2;115;16,4;0;0,0;11;1,6;0;0,0;
96;Bayreuther Str. 35;1.073;839;7;832;340;40,9;316;38,0;169;20,3;0;0,0;4;0,5;3;0,4;
97;Hufschmiedstr. 5;665;550;3;547;344;62,9;148;27,1;48;8,8;0;0,0;5;0,9;2;0,4;
